Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,521,0,160.0,189.22403752015717,153.0487920001633,1137.0907919999809,644.0,17.910464952041817,0.0,160,170,170,170,270,330,370,630,1100,1100,1100
,Aggregated,521,0,160.0,189.22403752015717,153.0487920001633,1137.0907919999809,644.0,17.910464952041817,0.0,160,170,170,170,270,330,370,630,1100,1100,1100
